3.366     -98.94670322 Ry
3.386     -99.03084504 Ry
3.406     -99.10365938 Ry
3.426     -99.16578411 Ry
3.446     -99.21784374 Ry
3.466     -99.26045163 Ry
3.486     -99.29418360 Ry
3.506     -99.31962626 Ry
3.526     -99.33732975 Ry
3.546     -99.34783557 Ry
3.566     -99.35165629 Ry
3.586     -99.34927816 Ry
3.606     -99.34117809 Ry
3.626     -99.32780731 Ry
3.646     -99.30959389 Ry
3.666     -99.28693950 Ry
3.686     -99.26023702 Ry
3.706     -99.22981173 Ry
3.726     -99.19612014 Ry
3.746     -99.15943591 Ry
3.766     -99.12007548 Ry
