    -824.15515913 Ry
    -824.58094444 Ry
    -824.64101193 Ry
    -824.67998137 Ry
    -824.71414865 Ry
    -824.76180936 Ry
    -824.79882213 Ry
    -824.81413414 Ry
    -824.82774515 Ry
    -824.84030046 Ry
    -824.84754722 Ry
    -824.85536443 Ry
    -824.86482496 Ry
    -824.88237904 Ry
    -824.89680817 Ry
    -824.90556304 Ry
    -824.90953765 Ry
    -824.91075075 Ry
    -824.91230365 Ry
    -824.91364265 Ry
    -824.91475585 Ry
    -824.91597539 Ry
    -824.91683917 Ry
    -824.91753067 Ry
    -824.91809795 Ry
    -824.91842179 Ry
    -824.91888266 Ry
    -824.91950116 Ry
    -824.92033909 Ry
    -824.92117472 Ry
    -824.92177855 Ry
    -824.92212592 Ry
    -824.92245696 Ry
    -824.92273207 Ry
    -824.92289796 Ry
    -824.92295778 Ry
    -824.92301566 Ry
    -824.92308208 Ry
    -824.92315072 Ry
    -824.92325124 Ry
    -824.92338537 Ry
    -824.92355803 Ry
    -824.92376276 Ry
    -824.92393113 Ry
    -824.92401788 Ry
    -824.92405783 Ry
