0.5     -2.17597306 Ry
0.55     -2.24494781 Ry
0.6     -2.28855060 Ry
0.61     -2.29493576 Ry
0.62     -2.30066079 Ry
0.63     -2.30576920 Ry
0.64     -2.31030141 Ry
0.65     -2.31429499 Ry
0.66     -2.31778486 Ry
0.68     -2.32338144 Ry
0.69     -2.32554673 Ry
0.7     -2.32732579 Ry
0.71     -2.32874326 Ry
0.72     -2.32982211 Ry
0.73     -2.33058384 Ry
0.74     -2.33104854 Ry
0.75     -2.33123500 Ry
0.76     -2.33116085 Ry
0.77     -2.33084257 Ry
0.78     -2.33029562 Ry
0.79     -2.32953451 Ry
0.8     -2.32857282 Ry
0.81     -2.32742332 Ry
0.82     -2.32609802 Ry
0.83     -2.32460816 Ry
0.84     -2.32296435 Ry
0.85     -2.32117654 Ry
0.9     -2.31038677 Ry
0.95     -2.29719262 Ry
1.0     -2.28233106 Ry
1.1     -2.24968934 Ry
1.2     -2.21548768 Ry
1.3     -2.18149425 Ry
1.5     -2.11662236 Ry
2.0     -1.99446474 Ry
2.5     -1.92063364 Ry
3.0     -1.87874318 Ry
3.5     -1.85658082 Ry
4.0     -1.84877507 Ry
4.5     -1.84656807 Ry
5.0     -1.84611630 Ry
