-734.76121512 Ry
-735.30075190 Ry
-735.35822167 Ry
-735.38145415 Ry
-735.38834550 Ry
-735.39120253 Ry
-735.39280469 Ry
-735.39461916 Ry
-735.39559392 Ry
-735.39586292 Ry
-735.39626582 Ry
-735.39677214 Ry
-735.39735609 Ry
-735.39796625 Ry
-735.39833985 Ry
-735.39900096 Ry
-735.39990082 Ry
-735.40135603 Ry
-735.40356031 Ry
-735.40673366 Ry
-735.41040334 Ry
-735.41414673 Ry
-735.42431166 Ry
-735.44047573 Ry
-735.46401864 Ry
-735.47855031 Ry
-735.48610876 Ry
-735.49703431 Ry
-735.50457260 Ry
-735.51302967 Ry
-735.52057943 Ry
-735.53013406 Ry
-735.53850534 Ry
-735.54742877 Ry
-735.55365746 Ry
-735.55722458 Ry
-735.55961969 Ry
-735.56166295 Ry
-735.56344821 Ry
-735.56495463 Ry
-735.56628365 Ry
-735.56764417 Ry
-735.56954396 Ry
-735.57186301 Ry
-735.57427440 Ry

